First Name,Last Name,Email Address,Company,Position,Connected On
Michelle,Phillips,justin21@hotmail.com,Companhia Siderúrgica Nacional,Engenheiro de Manutenção - Gerência de Produção Filtragem e Carregamento,19 Oct 2020
Courtney,Robertson,lwalker@hayes.com,CAAR do Brasil Consultoria Técnica Ltda,Referente Técnico ,28 Sep 2020
Gabriel,Lyons,trevor07@yahoo.com,Luziana Lanna Idiomas,Professor de inglês,23 Sep 2020
Cindy,Ramsey,omiranda@richardson.com,Grupo SADA,Analista de RH Jr- Gestão de Contratos,06 Sep 2020
Lori,Thomas,michael15@yahoo.com,Klüber Lubrication,Technical Consultant,03 Sep 2020
Brittany,Sanchez,aaronwilliamson@garcia.com,MAXCOR INDUSTRIA DE ETIQUETAS LTDA,Inspetora de Qualidade,25 Aug 2020
Paula,Montoya,jennifermckay@morse.info,Teksid,Estagiário de Engenharia ,20 Aug 2020
Anthony,Evans,nguyenmichael@cook.info,SMS group do Brasil,Analista de contratos,20 Aug 2020
Gregory,Simmons,breannavaughn@miller.com,Dmb Distribuidora Mineira De Bombas,Gerente comercial,19 Aug 2020
Erika,Mcclain,nlynch@lopez-nichols.com,Oncomed Tratamento Médico Integrado,Analista de sistemas pleno,16 Aug 2020
Justin,Park,llove@lopez.com,Cemig SIM,Analista de Soluções Energéticas,16 Aug 2020
Curtis,Payne,bridgesashley@gmail.com,plastubos,Motorista,14 Aug 2020
Nancy,Ballard,kendra47@lester.info,Vox2you Rede de Escolas de Oratória,Diretor,14 Aug 2020
Scott,Rogers,terry55@sherman.com,Tribunal de Justiça do Estado de Minas Gerais,Projetista e orçamentista,13 Aug 2020
James,Rodriguez,jodi90@hotmail.com,ChildFund Brasil - Fundo para Crianças,Coordenador de Mobilização de Recursos,13 Aug 2020
Cindy,Barnes,sherry89@yahoo.com,AMGS,Analista Financeiro,12 Aug 2020
Robert,Jones,brownjessica@chang.com,Prefeitura Municipal de Contagem,Gerente operacional,12 Aug 2020
Stacy,Kemp,chaseperez@jones.com,Acelera Profissional,Acelerador Empreendedores Solo,11 Aug 2020
Christopher,Scott,louis48@bryan-meadows.com,Grupo SADA,Analista de Suprimentos Jr. CSC,09 Aug 2020
Omar,Owens,bross@hotmail.com,Grupo SADA,Analista de Suprimentos Pleno,09 Aug 2020
Victoria,Anderson,rjenkins@hotmail.com,Universidade FUMEC,Professor do Programa de Doutorado e Mestrado em Administração (PDMA),06 Aug 2020
Amanda,Long,phillip87@hotmail.com,,,06 Aug 2020
Misty,Erickson,sextoncrystal@yahoo.com,Autônomo,Engenheiro Mecânico,04 Aug 2020
Robin,Clayton,codyrodriguez@gmail.com,SegundoSOL Engenharia LTDA,Engenheiro Eletricista Junior,28 Jul 2020
Richard,Smith,humphreyjames@king.info,Área de Atuação: Qualidade / Processos / Melhoria Continua ,Engenheira de Produção,27 Jul 2020
Dennis,Jones,ashley14@welch.com,3DFindable,Founder,27 Jul 2020
Kim,Davis,sotojoseph@zuniga.info,,,27 Jul 2020
Justin,Christensen,todd76@chavez.org,Interfile Full Service BPO,Analista de Operações,25 Jul 2020
Michael,Terry,medinagabrielle@hotmail.com,IMIC - Indústria Mecânica Irmãos Corgozinho Ltda,Comprador pleno,18 Jul 2020
Rebecca,Chavez,michael98@gmail.com,Empresa de Transportes e Trânsito de Belo Horizonte - BHTRANS S/A,Coordenador de Mobilização Social,16 Jul 2020
Jamie,Ward,fwelch@johnson.org,Winn-Dixie,Associate,15 Jul 2020
Ashley,Daniel,johnsonmichelle@hotmail.com,ABB Eletrificação,Process Engineer,15 Jul 2020
Jeanne,Blackburn,jenny53@thomas.net,FEAMIG - Faculdade de Engenharia de Minas Gerais,Professor convidado,15 Jul 2020
Michael,Reyes,walkerrita@snyder-freeman.com,Tecer Liderança Trein Edit E Cons Ltda,Palestrante | Escritora | Mentora de gestores | Engenheira Mecânica | Consultora Organizacional n,13 Jul 2020
Monica,Rodriguez,vanessa16@yahoo.com,Komatsu Mining Corp.,Técnico de segurança,13 Jul 2020
Sheila,Blackburn,teresa23@stafford.com,Câmara e Valadares Advogados e Associados,Prestadora de serviços jurídicos,13 Jul 2020
Trevor,Brown,kmejia@butler-walker.com,Master Informática,Gerente de Serviços,10 Jul 2020
John,Hudson,michaelrodriguez@yahoo.com,FCA Fiat Chrysler Automobiles,Eletrônico ,10 Jul 2020
Carla,Fitzgerald,nelsontamara@rose-ward.biz,Marcio Honorio Sociedade de Advogados,Escritório de Advocacia,05 Jul 2020
Amber,Hernandez,rodriguezwesley@gmail.com,Via 040,Analista de Planejamento,03 Jul 2020
Kristen,Hudson,foxgeorge@yahoo.com,Vulcabras Azaleia,Associada I,01 Jul 2020
Shane,Reyes,glassjoseph@griffin-white.info,IHM stefanini,Assistente de compras,29 Jun 2020
Tammy,Edwards,davidgonzalez@whitney.com,,,
Alexander,Mejia,lori07@stanley.com,3 Corações S/A,Engenherio de seguranca do trabalho,16 Jun 2020
Rebecca,Goodwin,poncedonald@yahoo.com, A precisão segurança patrimonial,Segurança Patrimonial,14 Jun 2020
Kenneth,Kaiser,stanleydawn@lee.biz,Promatec Soluções Industriais,Consultor de Engenharia,14 Jun 2020
Sandy,Chavez,curtis75@serrano.com,Pensalab Equipamentos Industriais S.A.,Consultora de vendas,13 Jun 2020
Tonya,Henderson,vperez@smith.com,ASSEMBLEIA DE DEUS,Coordenador de contabilidade,04 Jun 2020
Jennifer,Adams,carolyn11@roberts.biz,FCA Fiat Chrysler Automobiles,Analista de projetos,04 Jun 2020
William,Martinez,xcooper@yahoo.com,Escala Serviços de Engenharia,Técnico Projetista,26 May 2020
Jessica,Wilson,brobinson@gmail.com,Grupo SADA,Analista de TI/CFTV,23 May 2020
Ana,Lang,carla72@gmail.com,,,
Heather,Jones,jesse14@yahoo.com,SMS group GmbH,Estágio em Engenharia Mecânica,20 May 2020
Monica,Combs,wrightjohn@gmail.com,ENGETRAF - Consultoria e Projetos LTDA,Gerente de projetos,20 May 2020
Dominic,Lee,howardmichael@gmail.com,YouTube,Influencer,17 May 2020
Brian,Booth,vanessajones@cook.com,Expresso Nepomuceno S/A,Supervisor de logística,17 May 2020
Kimberly,Paul,prestonderek@goodman.com,Magndon,Director,16 May 2020
Ashley,Wyatt,meghan26@hotmail.com,Stulz Brasil Ar Condicionado Ltda.,Diretor,14 May 2020
Martha,Rasmussen,phuerta@gmail.com,Eviplan,Master Black Belt 3S-LSS & DFSS,12 May 2020
Travis,Morton,ewhite@small.info,JJL Projetos e Consultoria Ltda,Estagiário de engenharia mecânica,05 May 2020
Theresa,Contreras,heidi59@yahoo.com,BM&FBOVESPA agora é B3,Engenheiro de produção,04 May 2020
Matthew,Meza,thomasreynolds@wood.net,InPay Soluções Financeiras,Consultor financeiro,04 May 2020
Derek,Walls,richard22@gmail.com,AETHRA GROUP - Automotive Systems,Analista de recrutamento e seleção,27 Apr 2020
Justin,Benson,joshuaowens@martin-clark.biz,Usina Santa Terezinha,Operador Líder de Caldeiras,26 Apr 2020
Tyler,Wright,janemueller@hotmail.com,,,
Julie,Holmes,devingordon@gmail.com,Metalfisa Metalúrgica ,Analista de orçamento,23 Apr 2020
Joy,Henderson,moniquetaylor@hotmail.com,EASYVIX - Soluções Industriais,Coordenador Técnico em Eletrônica,14 Apr 2020
Nathaniel,French,lewischristina@saunders.com,Pintepoxi Eireli,Analista de Projetos Trainee,07 Apr 2020
Christopher,Drake,chavezchristopher@hotmail.com,Banco Original,Agente comercial,01 Apr 2020
Heather,Jones,julie63@hotmail.com,Energisa,Analista de Compras I,24 Mar 2020
Michael,Robinson,boydbreanna@smith.com,PUC Minas,Auxiliar Administrativo,19 Mar 2020
Valerie,Stone,gmeza@hotmail.com,ENGESUR,Inspector de Control y Calidad,19 Mar 2020
Melissa,Gonzalez,danielleowens@ortiz.com,The HEINEKEN Company,Analista de Inteligência de Vendas,19 Mar 2020
Taylor,George,karen46@brown.com,MRV,Assistente de Processos,19 Mar 2020
Veronica,Rivers,perezjeffery@scott.biz,Sotreq S/A,Estagiário,11 Mar 2020
Brandon,Simmons,acostacharles@gmail.com,Aloo Telecom,Analista de telecomunicações,19 Feb 2020
Cheryl,Brown,markmcguire@hotmail.com,JBA | Jabour Brandão Alkmim Advocacia e Consultoria,Estagiário,19 Feb 2020
James,Reid,brianna90@jackson.com,Hospital Munucipal de Contagem,Tec. Enfermagem,12 Feb 2020
Nicholas,Miller,crodriguez@hotmail.com,Dmb Distribuidora Mineira De Bombas,Vendedor Interno,12 Feb 2020
Courtney,Williamson,mary41@johnson-gardner.net,Universidade do Estado de Minas Gerais,Professora,11 Feb 2020
Victoria,Harris,lauriemendoza@hotmail.com,home office,Consultor comercial,10 Feb 2020
Jo,Mullins,zmoran@cook-nichols.com,AngloGold Ashanti,Analista administrativo,10 Feb 2020
Sharon,Young,christopher89@yahoo.com,,,10 Feb 2020
Martin,Mcmahon,orowe@hotmail.com,PUC Minas,Professor,04 Feb 2020
James,Davis,staceymelton@yahoo.com,C.A.A.R DO BRASIL,Product Development Analyst,01 Feb 2020
Jill,Shelton,zgonzalez@hotmail.com,Localiza Gestão de Frotas,Administração de Contratos,28 Jan 2020
Emily,English,mandy72@fowler.com,J.A. Sistemas de Energia,Gerente Comercial,28 Jan 2020
William,Sellers,michael14@yahoo.com,IBEXT Instituto Brasileiro de Extensão Tecnológica,Consultor de Desenvolvimento Industrial,28 Jan 2020
Daniel,Wall,storres@mcdaniel.org,Autônomo,Jornalista freelancer,22 Jan 2020
Stephen,Gibson,mark01@bailey.com,,,15 Jan 2020
Cassandra,Smith,freemandavid@hotmail.com,Supex,Gerente Administrativo,09 Jan 2020
Beth,Williams,webersheryl@gmail.com,MRV,Auxiliar de engenharia,08 Jan 2020
John,Russell,lopezdonald@gmail.com,IMA Industria mecânica alterosa,Analista de orçamento,08 Jan 2020
Kevin,Stewart,ricky01@gmail.com,,,07 Jan 2020
Katie,Farrell,kristygomez@williams-walker.org,,,
Tammy,Owens,tiffanygonzalez@hernandez.com,Imx - Industria Mecanica Xavier,Orçamentista comercial,07 Jan 2020
Valerie,Reynolds,brentjones@rojas.org,Oficina,Auxiliar de mecânica,25 Dec 2019
Eric,Owens,yhayes@gmail.com,PUC Minas,Professor Universitário,19 Dec 2019
Eric,Espinoza,xhaynes@yahoo.com,PUC Minas,Professora Assistente IV PUC Minas,13 Dec 2019
Heather,Perez,jessica44@gmail.com,Nemak,tec.mecanico,13 Dec 2019
Perry,Reed,kristen84@johnson.biz,Unidas,Analista financeiro júnior,28 Nov 2019
Adam,Johnson,hking@rodriguez.com,Belquimica Produtos E Assistencia Tecnica,Supervisor de vendas,26 Nov 2019
Chris,French,bowmanryan@gmail.com,Plascar,Controller and HR Manager ,25 Nov 2019
Michael,Mccarty,leejoanna@morris.biz,Easy equipamentos odontologicos,Retificador 2,25 Nov 2019
Nicholas,Rodriguez,williamsjose@collins-cooke.com,Controltec Controles E Montagens Eletromecanicas,Prestador de serviços,20 Nov 2019
Kristen,Bruce,robertingram@tanner.info,freelance,Senior Data Scientist,19 Nov 2019
Michael,Mccormick,larry31@lawson.info,Em Busca de Novas Oportunidades,interesse em oportunidade de operador de grua torre ou Ponte rolante,19 Nov 2019
Marc,Sparks,williamsjoseph@hotmail.com,Vezzi Lapolla Mesquita Advogados,Advogado associado,06 Nov 2019
Carlos,Martin,kathyboyd@newton-odom.com,Prefeitura Municipal de Contagem,Membro Titular do CODECON - Conselho de Desenvolvimento Econômico de Contagem,02 Nov 2019
Corey,Carter,hortonbarbara@hunter.biz,Itaú Unibanco,Estagiário Banco ,16 Oct 2019
Janet,Hancock,benderbrandon@gmail.com,SDS Empreendimentos e Construções Eireli,Auxiliar de Engenharia,15 Oct 2019
Robin,Sweeney,john40@russo-bullock.info,Impulso Consultoria e Gestão de Pessoas,Proprietário da empresa,10 Oct 2019
Jessica,Peterson,mary57@downs-russo.biz,WestRock Brasil,Almoxarife,08 Oct 2019
Kenneth,Brown,mark99@gmail.com,,,
Matthew,Davis,davisgina@yahoo.com,Loggi,Customer Success Executive I,02 Oct 2019
Michelle,Christensen,sharrell@saunders.biz,Lajes Premold ,Vendedor externo,30 Sep 2019
Julie,Robinson,johnsonsara@gmail.com,,,29 Sep 2019
Tammy,Bautista,rebeccabailey@hotmail.com,Prefeitura de Belo Horizonte,Farmacêutico na Gerência de Vigilância Epidemiológica,25 Sep 2019
Tyler,Mendez,cristianpatel@white.net,Afya Educacional,Analista Financeiro,25 Sep 2019
Karen,Jimenez,jgomez@perry.com,Alpha Diamond Team,Hunter Founder,24 Sep 2019
Tim,Moore,tammyblack@gmail.com,Accenture Brasil,Analista pleno de contas a pagar,20 Sep 2019
Yolanda,Reyes,leebrian@kennedy.com,FCA Latam (Fiat Chrysler Automobiles),Analista da Qualidade Jr - CST Chassi LATAM,20 Sep 2019
Shannon,Roach,theresa80@wood-henry.org,PAM - Produtos Auxiliares Metalúrgicos,Plant General Manager,20 Sep 2019
Julia,Johnston,kyle24@boyd-shepherd.com,Montele Elevadores,Assistente operacional,19 Sep 2019
Paula,Romero,cdavis@ferrell.com,La Cita Eventos e Produções,CEO,16 Sep 2019
William,Porter,jlee@mahoney.info,NEUMAN & ESSER Brasil,Compressor Application Technician,16 Sep 2019
Lisa,Campos,yolanda75@yahoo.com,Ânima Educação,Recrutamento e Seleção ,10 Sep 2019
Amber,Manning,fbridges@gmail.com,Seguranca Engenharia Ltda,Auxiliar administrativo,10 Sep 2019
Eric,Edwards,garrettfuller@gmail.com,Localiza,Gerente de Recrutamento e Seleção Nacional,06 Sep 2019
Eric,Gilbert,reedrenee@gmail.com,Cemig - Companhia Energética de Minas Gerais,Técnico O&M de Subestação da Transmissão (Jr),05 Sep 2019
Angela,Jones,wilsondenise@ray.com,Horizonte Minerals Plc,Estagiário,05 Sep 2019
Harry,Walker,sandovalmarc@lopez.info,Clinescultural,Gerente administrativo e financeiro,02 Sep 2019
Shawna,Bryant,tjones@richardson.com,Comau,Líder técnico de engenharia,30 Aug 2019
Julie,Tate,msmith@watson.com,W1 Consultoria Financeira,Consultora Financeira,20 Aug 2019
Debra,Gray,bcruz@williams.com,RASHEED AHMED & SONS,Proprietor,20 Aug 2019
Christian,Ellis,jared02@gmail.com,AEVO,Product,20 Aug 2019
Debra,James,carlos54@bailey-rhodes.com,VIAESSENCIA,SÓCIO-GERENTE,14 Aug 2019
Dustin,Martinez,vaughnrebecca@yahoo.com,Herkenhoff & Prates,Analista de dados,13 Aug 2019
Christopher,Orozco,douglas93@chavez-baker.org,ECM - Projetos Industriais,Engenheiro Trainee - Líder de Projetos,10 Aug 2019
Samuel,Hale,william28@hotmail.com,Hospital do Coração de Alagoas,Assistente financeiro,10 Aug 2019
Taylor,Barnes,qdoyle@gmail.com,CNH Industrial,Compradora,06 Aug 2019
Zachary,Hall,steven02@glass.net,Stellantis,Analista III Engenharia Elétrica / Eletrônica,01 Aug 2019
Edward,Estrada,briancarter@blanchard-guerrero.info,Prontomec Industrial,Estagiário de Manutenção,30 Jul 2019
Kimberly,Stevens,zacharysullivan@hotmail.com,Sindicato dos Trabalhadores da Indústria de Calçados do Ceará,Jornalista,29 Jul 2019
Brandon,Ware,elizabethhall@smith-manning.com,Monterre Construtora,Assistente Suprimentos ,25 Jul 2019
Roger,Adams,nancykelley@yahoo.com,Sixpro Virtual&Practical Process,Consultor técnico comercial,24 Jul 2019
Lance,Trujillo,woodsanna@baker.info,Extrack ,Fundadora e CEO ,18 Jul 2019
Mary,Berry,eparker@gmail.com,SGSGEOSOL LABORATÓRIOS ,Analista laboratório de Fluorescência de Raios-X,11 Jul 2019
Kelly,Perkins,jessicamiller@yahoo.com,Racional Engenharia,Assistente de produção,11 Jul 2019
Daniel,Beasley,phines@lewis-blake.com,Clínica CEU,Coordenadora de Radiologia,05 Jul 2019
Marvin,Simpson,sleach@hotmail.com,Autônomo,Vendedor,03 Jul 2019
Douglas,Saunders,ddavis@chandler.com,Stellantis,Team Leader,02 Jul 2019
Penny,Alvarez,david56@hotmail.com,Vallourec,Senior Supply Chain Specialist,26 Jun 2019
Bruce,Foster,melissapalmer@holland-jackson.info,Wave Pub ,Proprietário,24 Jun 2019
Kyle,Potts,lori16@green.com,FAM Brasil,Coordenador de suprimentos,20 Jun 2019
Eric,Perez,gregoryporter@gmail.com,Asmam Caldeiras,Técnico mecânico,17 Jun 2019
Adam,Nelson,stephen41@yahoo.com,ComMolas,Consultor comercial,11 Jun 2019
Kayla,Stephens,kimberly08@hotmail.com,ATS Informática,Executivo de novos negócios,07 Jun 2019
Renee,Decker,gardnerlisa@hendrix.com,Macon Transportes - Angola,Superintendente de Operações,07 Jun 2019
Don,Barber,jordan32@gmail.com,Superintendência de Desenvolvimento da Capital - SUDECAP,Engenheira Geotécnica,04 Jun 2019
Lynn,Jones,fmay@hotmail.com,H2H Executive Search,Senior Managing Partner,04 Jun 2019
Amanda,Lewis,uclark@hotmail.com,Dimagra Ind. E Com. De Mármores E Granitos Ltda,Assistente administrativo,04 Jun 2019
Jill,Decker,stephaniehodges@beasley.org,sairamgranites,Owner,04 Jun 2019
Amanda,Mack,lorimartinez@gmail.com,Autônomo,Consultor de vendas,04 Jun 2019
Linda,Nelson,ypeters@cunningham.com,,,04 Jun 2019
Teresa,Le,jacksonalvin@yahoo.com,Soluções Usiminas,Supervisor de PCP,04 Jun 2019
Penny,Jones,paige52@yahoo.com,Allen | Soluções em Tecnologia,Estagiário,30 May 2019
Karen,Nelson,corey47@christensen.com,,,
Renee,Mcclain,eringordon@rivas.info,Inter,Analista de Atração e Seleção,23 May 2019
Anthony,Anderson,jonathanrobinson@strickland-davis.org,CMP Componentes Módulos Plásticos Ind. Com. Oficial,Logística - CMP,22 May 2019
Tyrone,Morris,carsonsarah@gmail.com,AngloGold Ashanti Brasil,Analista de planejamento ,22 May 2019
Alan,Baker,mendezgabriella@melton-howell.net,Ag Acabamentos e comercio em peças,Operador de mistura,22 May 2019
Erin,Watson,matthewreed@yahoo.com,Eleições 2020,Candidato a Vereador em Belo Horizonte,22 May 2019
Richard,Rios,iwallace@gmail.com,CL Consultoria,Consultor de novos negócios,22 May 2019
Steven,Wright,lquinn@yahoo.com,Baja PUC Minas,Coordenador Cálculo Estrutural,22 May 2019
Tony,Horn,kevintapia@soto.com,Hospital Lifecenter,Analista de Comunicação,22 May 2019
Nicole,Kidd,moralesjack@hotmail.com,Accenture,Analista de sistemas sênior,21 May 2019
Jennifer,Oliver,kenneth08@davis-vargas.com,SBT,Repórter esportivo,16 May 2019
Tyler,Brooks,patrick10@zavala-erickson.info,,,15 May 2019
Sara,Yates,timothy63@becker.com,Cottar Engenharia e Serviços,Analista de Planejamento de Manutenção,10 May 2019
Gabrielle,Gomez,kyle44@yahoo.com,ESAB South America,Customer Support Technician,09 May 2019
Kimberly,Cox,perezandre@patterson-butler.com,Conbras - Uma empresa do Grupo GPS,Encarregado de manutenção civil ,07 May 2019
Nicholas,Bishop,carol05@brown-rios.info,Midhaz,Cofounder & CMO,07 May 2019
Patricia,Johnson,jwright@williams.info,Telemont,Analista de Gestão da Qualidade PL,06 May 2019
Joseph,Conrad,tamara19@burton.com,Prefeitura Municipal de São José dos Campos,Estagiário,03 May 2019
James,Hernandez,melaniealexander@hart-sanders.net,Petrobras,Químico Analista,02 May 2019
Joseph,Brown,mathewsjonathan@boyd-burke.org,Nansen,Analista da qualidade Sênior,29 Apr 2019
Tiffany,Harris,jessicataylor@graham.com,Mendes Capital ,Trader,29 Apr 2019
Kara,Horton,dunlapkevin@allen.org,Purcell Construction,Assistant Site Engineer,29 Apr 2019
Aaron,Sharp,david40@campbell.com,Action Consultoria & Negócios,Management System Consultant CEO,29 Apr 2019
Jennifer,Lee,davidphillips@alvarez.net,Brembo do Brasil,Eletroeletrônico de Manutenção,29 Apr 2019
Alfred,Ramirez,qhicks@holmes.com,Construtora Terrayama Ltda.,Aprendiz,29 Apr 2019
Brittany,Roberts,michaelhancock@burke-alexander.com,,,
Deanna,Brooks,brandon98@chang-benitez.com,Autônomo,Consultor imobiliário,23 Apr 2019
Keith,Shields,james12@jones.info,MASD Advogados Associados,Advogada,23 Apr 2019
Ruth,Anderson,swhite@yahoo.com,RHI Magnesita,Técnico de Planejamento de Manutenção PL,23 Apr 2019
Ian,Wallace,montesrandy@hotmail.com,Seedz,Analista de Projetos,22 Apr 2019
Heather,Henderson,jacksonalex@yahoo.com,Ossa Consulting LTDA,Sócio-proprietário,22 Apr 2019
Joseph,Anderson,michaelsanders@clark.org,RHIMagnesita,Analista de Recursos humanos,16 Apr 2019
Sarah,Miller,robertmclaughlin@brown.org,APTA ,Técnico em Automação Industrial Jr.,15 Apr 2019
Daisy,Mathis,joneskatelyn@hotmail.com,Cristiane Costa Advogada e Consultora,Proprietária,12 Apr 2019
Lindsay,Sims,wallsjoseph@murphy.com,CMP Componentes Módulos Plásticos Ind. Com. Oficial,Team Leader,12 Apr 2019
Ashley,Porter,brian78@reyes.com,Autônomo,Estudante voluntário,11 Apr 2019
Amy,Dalton,thall@hotmail.com,Social Bank,Analista de Monitoramento,09 Apr 2019
Ashley,Roberts,katherine49@yahoo.com,DHL Supply Chain,Assistente de transportes,08 Apr 2019
Julia,Curtis,lfuller@hotmail.com,Villefort Atacarejo,Coordenadora de Segurança do Trabalho,05 Apr 2019
Joshua,Baker,joseph71@perkins.biz,NEUMAN & ESSER Brasil,Project Engineer,05 Apr 2019
Tabitha,Herman,pittsraymond@lozano.net,Secretaria de Estado de Desenvolvimento Econômico de MG,Diretor de Energia,04 Apr 2019
Keith,Guerrero,dianethompson@jordan.com,Grupo OVD,Consultor externo de vendas,03 Apr 2019
Jimmy,Smith,kennethparker@hotmail.com,Profissional Liberal,Arquiteto,03 Apr 2019
Carlos,Byrd,megan30@hotmail.com,HS / soluções em comunicação,Coordenador de  mídias digitais,01 Apr 2019
Richard,Petersen,amberjohnson@roberts.org,Visiontech Medical Optics,Coordenador de Planejamento e Controle da Produção,01 Apr 2019
Zachary,Smith,gloria80@williamson.biz,SAE Towers,Estagiário de engenharia,28 Mar 2019
Carl,Thompson,hmason@wiggins.info,HOME OFFICE LOVERS,Web Designer (Back-end & Front-end • Full-Stack),27 Mar 2019
Marcus,Rose,rebeccaalvarez@gmail.com,Pimenta e Associados e Desenvolvimento Empresarial,Recrutador,27 Mar 2019
Luke,Berger,jennifer46@gmail.com,CHC Helicopter,Aircraft Maintenance Inspector,27 Mar 2019
Joann,Bell,jonmorgan@villarreal-lee.biz,Ambev,Analista de Inteligência de Mercado,26 Mar 2019
